Unique_FUTSTK_Symbols,eSig_Ami_Symbol
NHPC,NHPC.EQ-NSE
OFSS,OFSS.EQ-NSE
OIL,OIL.EQ-NSE
ONMOBILE,ONMOBILE.EQ-NSE
OPTOCIRCUI,OPTOCIRCUI.EQ-NSE
ORBITCORP,ORBITCORP.EQ-NSE
ORCHIDCHEM,ORCHIDCHEM.EQ-NSE
ORIENTBANK,ORIENTBANK.EQ-NSE
PANTALOONR,PANTALOONR.EQ-NSE
PATELENG,PATELENG.EQ-NSE
PATNI,PATNI.EQ-NSE
PIRHEALTH,PIRHEALTH.EQ-NSE
POLARIS,POLARIS.EQ-NSE
PRAJIND,PRAJIND.EQ-NSE
PTC,PTC.EQ-NSE
PUNJLLOYD,PUNJLLOYD.EQ-NSE
RANBAXY,RANBAXY.EQ-NSE
RCOM,RCOM.EQ-NSE
RELCAPITAL,RELCAPITAL.EQ-NSE
RELINFRA,RELINFRA.EQ-NSE
RELMEDIA,RELMEDIA.EQ-NSE
RENUKA,RENUKA.EQ-NSE
ROLTA,ROLTA.EQ-NSE
RPOWER,RPOWER.EQ-NSE
RUCHISOYA,RUCHISOYA.EQ-NSE
SCI,SCI.EQ-NSE
SESAGOA,SESAGOA.EQ-NSE
SINTEX,SINTEX.EQ-NSE
SKUMARSYNF,SKUMARSYNF.EQ-NSE
SOBHA,SOBHA.EQ-NSE
SREINFRA,SREINFRA.EQ-NSE
STER,STER.EQ-NSE
STERLINBIO,STERLINBIO.EQ-NSE
STRTECH,STRTECH.EQ-NSE
SUZLON,SUZLON.EQ-NSE
SYNDIBANK,SYNDIBANK.EQ-NSE
TATACOMM,TATACOMM.EQ-NSE
TATAGLOBAL,TATAGLOBAL.EQ-NSE
TATAMTRDVR,TATAMTRDVR.EQ-NSE
TRIVENI,TRIVENI.EQ-NSE
TTML,TTML.EQ-NSE
TULIP,TULIP.EQ-NSE
TV-18,TV-18.EQ-NSE
UCOBANK,UCOBANK.EQ-NSE
UNIONBANK,UNIONBANK.EQ-NSE
UNIPHOS,UNIPHOS.EQ-NSE
UNITECH,UNITECH.EQ-NSE
VIDEOIND,VIDEOIND.EQ-NSE
VIJAYABANK,VIJAYABANK.EQ-NSE
WELCORP,WELCORP.EQ-NSE
ARVIND,ARVIND.EQ-NSE
JSWENERGY,JSWENERGY.EQ-NSE
RAYMOND,RAYMOND.EQ-NSE
GSKCONS,GSKCONS.EQ-NSE
SSLT,SSLT.EQ-NSE
AMTEKAUTO,AMTEKAUTO.EQ-NSE
ENGINERSIN,ENGINERSIN.EQ-NSE
SKSMICRO,SKSMICRO.EQ-NSE
STAR,STAR.EQ-NSE
WOCKPHARMA,WOCKPHARMA.EQ-NSE
AJANTPHARM,AJANTPHARM.EQ-NSE
CASTROLIND,CASTROLIND.EQ-NSE
CEATLTD,CEATLTD.EQ-NSE
DHFL,DHFL.EQ-NSE
GRANULES,GRANULES.EQ-NSE
ICIL,ICIL.EQ-NSE
KPIT,KPIT.EQ-NSE
KSCL,KSCL.EQ-NSE
PCJEWELLER,PCJEWELLER.EQ-NSE
SOUTHBANK,SOUTHBANK.EQ-NSE
TATAELXSI,TATAELXSI.EQ-NSE
TV18BRDCST,TV18BRDCST.EQ-NSE
BHARATFIN,BHARATFIN.EQ-NSE
BSOFT,BSOFT.EQ-NSE
CANFINHOME,CANFINHOME.EQ-NSE
CGPOWER,CGPOWER.EQ-NSE
DCBBANK,DCBBANK.EQ-NSE
GODFRYPHLP,GODFRYPHLP.EQ-NSE
GSFC,GSFC.EQ-NSE
INFIBEAM,INFIBEAM.EQ-NSE
KAJARIACER,KAJARIACER.EQ-NSE
MCX,MCX.EQ-NSE
NBCC,NBCC.EQ-NSE
REPCOHOME,REPCOHOME.EQ-NSE
VGUARD,VGUARD.EQ-NSE
BFUTILITIE,BFUTILITIE.EQ-NSE
GITANJALI,GITANJALI.EQ-NSE
TTKPRESTIG,TTKPRESTIG.EQ-NSE
VIPIND,VIPIND.EQ-NSE
AIL,AIL.EQ-NSE
COREEDUTEC,COREEDUTEC.EQ-NSE
DELTACORP,DELTACORP.EQ-NSE
GUJFLUORO,GUJFLUORO.EQ-NSE
JSWISPAT,JSWISPAT.EQ-NSE
NAGAROIL,NAGAROIL.EQ-NSE
TATACOFFEE,TATACOFFEE.EQ-NSE
FRL,FRL.EQ-NSE
CAPF,CAPF.EQ-NSE
DALMIABHA,DALMIABHA.EQ-NSE
IDFCBANK,IDFCBANK.EQ-NSE
RDEL,RDEL.EQ-NSE
DHANBANK,DHANBANK.EQ-NSE
RNAVAL,RNAVAL.EQ-NSE
NAGARCONST,NAGARCONST.EQ-NSE
MERCATOR,MERCATOR.EQ-NSE
ALSTOMT&D,ALSTOMT&D.EQ-NSE
