"CALLS_OI","CALLS_Chng_in_OI","CALLS_Volume","CALLS_IV","CALLS_LTP","CALLS_Net_Chng","CALLS_BidQty","CALLS_BidPrice","CALLS_AskPrice","CALLS_AskQty","_Strike_Price","PUTS_BidQty","PUTS_BidPrice","PUTS_AskPrice","PUTS_AskQty","PUTS_Net_Chng","PUTS_LTP","PUTS_IV","PUTS_Volume","PUTS_Chng_in_OI","PUTS_OI","SYMBOL","EXPIRY","DATE","TIME"
"303,450","-8,550","969","-","1,358.80","-203.00","75","1,360.00","1,363.35","75","11500.00","3,675","0.20","0.40","5,025","-1.25","0.20","99.14","21,939","-257,625","1,761,075","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"19,500","-225","11","-","1,308.55","-208.75","75","1,298.45","1,316.90","75","11550.00","-","-","0.05","75","-1.50","0.05","87.17","116","-2,550","47,025","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"385,050","-5,250","564","-","1,257.95","-214.20","75","1,257.60","1,263.55","600","11600.00","1,350","0.25","0.65","2,775","-1.00","0.65","93.34","3,242","-28,425","944,325","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"12,300","-525","12","-","1,205.60","-206.65","75","1,196.35","1,264.25","75","11650.00","-","-","0.60","525","-1.30","0.40","-","268","-5,400","45,300","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"480,300","-36,900","1,586","-","1,163.00","-200.25","450","1,157.60","1,164.60","75","11700.00","1,725","0.30","0.90","1,500","-1.25","0.50","88.46","7,828","-94,800","868,200","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"16,200","-1,500","34","-","1,108.75","-205.10","75","1,099.05","1,146.10","75","11750.00","75","0.40","0.70","600","-1.05","0.70","82.69","509","-3,750","38,700","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"477,825","-17,700","594","-","1,063.65","-198.45","75","1,056.55","1,065.00","75","11800.00","75","0.30","1.00","1,200","-0.95","0.95","82.63","11,029","-133,950","1,014,075","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"11,550","-525","28","-","1,000.30","-207.85","75","998.35","1,048.35","75","11850.00","825","0.40","1.15","3,000","-0.60","1.40","-","480","-6,600","37,125","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"286,050","-19,275","605","-","960.95","-211.55","75","957.00","963.30","600","11900.00","75","0.20","0.90","225","-1.25","0.80","77.21","11,449","-112,275","1,022,550","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
"12,675","-675","22","-","910.60","-199.80","75","904.00","913.10","150","11950.00","2,550","0.30","0.60","75","-1.85","0.35","75.36","846","-26,100","41,400","NIFTY","26NOV2020","Nov 25, 2020 1","15:30:28"
